,,
,,
,Date,Close
,02/03/2015 16:00:00,25.13
,03/03/2015 16:00:00,25.06
,04/03/2015 16:00:00,25
,05/03/2015 16:00:00,24.98
,06/03/2015 16:00:00,24.61
,09/03/2015 16:00:00,24.59
,10/03/2015 16:00:00,24.13
,11/03/2015 16:00:00,24.17
,12/03/2015 16:00:00,24.26
,13/03/2015 16:00:00,23.95
,16/03/2015 16:00:00,24.22
,17/03/2015 16:00:00,24.14
,18/03/2015 16:00:00,24.36
,19/03/2015 16:00:00,24.33
,20/03/2015 16:00:00,24.62
,23/03/2015 16:00:00,24.62
,24/03/2015 16:00:00,24.43
,25/03/2015 16:00:00,24.07
,26/03/2015 16:00:00,24.02
,27/03/2015 16:00:00,24.12
,30/03/2015 16:00:00,24.23
,31/03/2015 16:00:00,24.09
,01/04/2015 16:00:00,23.96
,02/04/2015 16:00:00,24.04
,06/04/2015 16:00:00,24.26
,07/04/2015 16:00:00,24.24
,08/04/2015 16:00:00,24.4
,09/04/2015 16:00:00,24.53
,10/04/2015 16:00:00,24.57
,13/04/2015 16:00:00,24.52
,14/04/2015 16:00:00,24.49
,15/04/2015 16:00:00,24.7
,16/04/2015 16:00:00,24.67
,17/04/2015 16:00:00,24.43
,20/04/2015 16:00:00,24.71
,21/04/2015 16:00:00,24.71
,22/04/2015 16:00:00,24.85
,23/04/2015 16:00:00,24.86
,24/04/2015 16:00:00,24.86
,27/04/2015 16:00:00,24.86
,28/04/2015 16:00:00,24.82
,29/04/2015 16:00:00,24.77
,30/04/2015 16:00:00,24.46
,01/05/2015 16:00:00,24.78
,04/05/2015 16:00:00,24.9
,05/05/2015 16:00:00,24.59
,06/05/2015 16:00:00,24.4
,07/05/2015 16:00:00,24.49
,08/05/2015 16:00:00,24.8
,11/05/2015 16:00:00,24.68
,12/05/2015 16:00:00,24.62
,13/05/2015 16:00:00,24.68
,14/05/2015 16:00:00,24.99
,15/05/2015 16:00:00,24.97
,18/05/2015 16:00:00,25.08
,19/05/2015 16:00:00,24.9
,20/05/2015 16:00:00,24.77
,21/05/2015 16:00:00,24.86
,22/05/2015 16:00:00,24.85
,26/05/2015 16:00:00,24.47
,27/05/2015 16:00:00,24.69
,28/05/2015 16:00:00,24.7
,29/05/2015 16:00:00,24.6
,01/06/2015 16:00:00,24.59
,02/06/2015 16:00:00,24.65
,03/06/2015 16:00:00,24.76
,04/06/2015 16:00:00,24.45
,05/06/2015 16:00:00,24.49
,08/06/2015 16:00:00,24.32
,09/06/2015 16:00:00,24.26
,10/06/2015 16:00:00,24.7
,11/06/2015 16:00:00,24.64
,12/06/2015 16:00:00,24.42
,15/06/2015 16:00:00,24.28
,16/06/2015 16:00:00,24.38
,17/06/2015 16:00:00,24.42
,18/06/2015 16:00:00,24.68
,19/06/2015 16:00:00,24.57
,22/06/2015 16:00:00,24.76
,23/06/2015 16:00:00,24.83
,24/06/2015 16:00:00,24.68
,25/06/2015 16:00:00,24.61
,26/06/2015 16:00:00,24.57
,29/06/2015 16:00:00,23.96
,30/06/2015 16:00:00,24.02
,01/07/2015 16:00:00,24.15
,02/07/2015 16:00:00,24.15
,06/07/2015 16:00:00,23.88
,07/07/2015 16:00:00,24.04
,08/07/2015 16:00:00,23.57
,09/07/2015 16:00:00,23.77
,10/07/2015 16:00:00,24.04
,13/07/2015 16:00:00,24.34
,14/07/2015 16:00:00,24.52
,15/07/2015 16:00:00,24.39
,16/07/2015 16:00:00,24.58
,17/07/2015 16:00:00,24.48
,20/07/2015 16:00:00,24.49
,21/07/2015 16:00:00,24.4
,22/07/2015 16:00:00,24.45
,23/07/2015 16:00:00,24.38
,24/07/2015 16:00:00,24.08
,27/07/2015 16:00:00,23.9
,28/07/2015 16:00:00,24.21
,29/07/2015 16:00:00,24.48
,30/07/2015 16:00:00,24.41
