,,
,,
,Date,Close
,02/03/2015 16:00:00,109.85
,03/03/2015 16:00:00,110.69
,04/03/2015 16:00:00,110.05
,05/03/2015 16:00:00,111.1
,06/03/2015 16:00:00,109.44
,09/03/2015 16:00:00,108.2
,10/03/2015 16:00:00,107.37
,11/03/2015 16:00:00,107.75
,12/03/2015 16:00:00,106.93
,13/03/2015 16:00:00,106.75
,16/03/2015 16:00:00,107.59
,17/03/2015 16:00:00,106.2
,18/03/2015 16:00:00,110.58
,19/03/2015 16:00:00,107.23
,20/03/2015 16:00:00,110.62
,23/03/2015 16:00:00,108.72
,24/03/2015 16:00:00,109.9
,25/03/2015 16:00:00,111.58
,26/03/2015 16:00:00,113.58
,27/03/2015 16:00:00,112.5
,30/03/2015 16:00:00,115.52
,31/03/2015 16:00:00,115.09
,01/04/2015 16:00:00,116.51
,02/04/2015 16:00:00,118.65
,06/04/2015 16:00:00,123.21
,07/04/2015 16:00:00,124.17
,08/04/2015 16:00:00,122.12
,09/04/2015 16:00:00,125.82
,10/04/2015 16:00:00,125.01
,13/04/2015 16:00:00,124.09
,14/04/2015 16:00:00,127.01
,15/04/2015 16:00:00,129.44
,16/04/2015 16:00:00,128.69
,17/04/2015 16:00:00,128.2
,20/04/2015 16:00:00,127.03
,21/04/2015 16:00:00,124.24
,22/04/2015 16:00:00,123.15
,23/04/2015 16:00:00,123.69
,24/04/2015 16:00:00,121.51
,27/04/2015 16:00:00,120.35
,28/04/2015 16:00:00,122.84
,29/04/2015 16:00:00,126.2
,30/04/2015 16:00:00,124.4
,01/05/2015 16:00:00,122.79
,04/05/2015 16:00:00,123.17
,05/05/2015 16:00:00,119.22
,06/05/2015 16:00:00,119.79
,07/05/2015 16:00:00,118.54
,08/05/2015 16:00:00,118.44
,11/05/2015 16:00:00,115.73
,12/05/2015 16:00:00,117.92
,13/05/2015 16:00:00,116.93
,14/05/2015 16:00:00,114.82
,15/05/2015 16:00:00,114.99
,18/05/2015 16:00:00,116.43
,19/05/2015 16:00:00,114.76
,20/05/2015 16:00:00,116.31
,21/05/2015 16:00:00,119.73
,22/05/2015 16:00:00,118.34
,26/05/2015 16:00:00,116.43
,27/05/2015 16:00:00,116.97
,28/05/2015 16:00:00,114.36
,29/05/2015 16:00:00,115.51
,01/06/2015 16:00:00,115.11
,02/06/2015 16:00:00,116.44
,03/06/2015 16:00:00,116.24
,04/06/2015 16:00:00,114.79
,05/06/2015 16:00:00,116.98
,08/06/2015 16:00:00,116.7
