,,
,,
,Date,Close
,02/03/2015 16:00:00,89.31
,03/03/2015 16:00:00,86.58
,04/03/2015 16:00:00,85.13
,05/03/2015 16:00:00,85.35
,06/03/2015 16:00:00,84.68
,09/03/2015 16:00:00,85.38
,10/03/2015 16:00:00,84.06
,11/03/2015 16:00:00,84.73
,12/03/2015 16:00:00,87.25
,13/03/2015 16:00:00,86.26
,16/03/2015 16:00:00,88.32
,17/03/2015 16:00:00,87.72
,18/03/2015 16:00:00,88.2
,19/03/2015 16:00:00,88.01
,20/03/2015 16:00:00,88.95
,23/03/2015 16:00:00,88.19
,24/03/2015 16:00:00,87.59
,25/03/2015 16:00:00,85.91
,26/03/2015 16:00:00,85.23
,27/03/2015 16:00:00,86.17
,30/03/2015 16:00:00,86.58
,31/03/2015 16:00:00,85.06
,01/04/2015 16:00:00,84.71
,02/04/2015 16:00:00,85.62
,06/04/2015 16:00:00,86.24
,07/04/2015 16:00:00,85.38
,08/04/2015 16:00:00,85.57
,09/04/2015 16:00:00,86
,10/04/2015 16:00:00,87.28
,13/04/2015 16:00:00,87.5
,14/04/2015 16:00:00,87.33
,15/04/2015 16:00:00,86.45
,16/04/2015 16:00:00,86.47
,17/04/2015 16:00:00,87
,20/04/2015 16:00:00,88.53
,21/04/2015 16:00:00,90.82
,22/04/2015 16:00:00,90.83
,23/04/2015 16:00:00,91.26
,24/04/2015 16:00:00,90.98
,27/04/2015 16:00:00,90.65
,28/04/2015 16:00:00,89.6
,29/04/2015 16:00:00,88.45
,30/04/2015 16:00:00,86.06
,01/05/2015 16:00:00,87.16
,04/05/2015 16:00:00,87.33
,05/05/2015 16:00:00,85.89
,06/05/2015 16:00:00,84.65
,07/05/2015 16:00:00,85.69
,08/05/2015 16:00:00,86.92
,11/05/2015 16:00:00,87.12
,12/05/2015 16:00:00,86.82
,13/05/2015 16:00:00,86.43
,14/05/2015 16:00:00,87.66
,15/05/2015 16:00:00,88.48
,18/05/2015 16:00:00,90.13
,19/05/2015 16:00:00,90.07
,20/05/2015 16:00:00,89.91
,21/05/2015 16:00:00,90.59
,22/05/2015 16:00:00,90.52
,26/05/2015 16:00:00,88.33
,27/05/2015 16:00:00,89
,28/05/2015 16:00:00,88.37
,29/05/2015 16:00:00,87.14
,01/06/2015 16:00:00,87.75
,02/06/2015 16:00:00,88.58
,03/06/2015 16:00:00,90.25
,04/06/2015 16:00:00,88.19
,05/06/2015 16:00:00,87.98
,08/06/2015 16:00:00,87.59
,09/06/2015 16:00:00,87.3
,10/06/2015 16:00:00,88.94
,11/06/2015 16:00:00,90.11
,12/06/2015 16:00:00,90.19
,15/06/2015 16:00:00,90.31
,16/06/2015 16:00:00,91.13
,17/06/2015 16:00:00,91.73
,18/06/2015 16:00:00,92.95
,19/06/2015 16:00:00,92.44
,22/06/2015 16:00:00,93.05
,23/06/2015 16:00:00,92.89
,24/06/2015 16:00:00,91.88
,25/06/2015 16:00:00,92.7
,26/06/2015 16:00:00,92.75
,29/06/2015 16:00:00,90.1
,30/06/2015 16:00:00,89.94
,01/07/2015 16:00:00,90.78
,02/07/2015 16:00:00,90.32
,06/07/2015 16:00:00,91.04
,07/07/2015 16:00:00,90.73
,08/07/2015 16:00:00,87.61
,09/07/2015 16:00:00,88.72
,10/07/2015 16:00:00,91.15
,13/07/2015 16:00:00,92.52
,14/07/2015 16:00:00,93.3
,15/07/2015 16:00:00,93.42
,16/07/2015 16:00:00,93.92
,17/07/2015 16:00:00,94.5
,20/07/2015 16:00:00,93.13
,21/07/2015 16:00:00,93.53
,22/07/2015 16:00:00,94.78
,23/07/2015 16:00:00,95.46
,24/07/2015 16:00:00,93.57
,27/07/2015 16:00:00,92.08
,28/07/2015 16:00:00,91.72
